id,original_title,genres
1000,특수아동의 이해,"[{'id': 1, 'name': '인성'}, {'id': 2, 'name': '봉사'}, {'id': 3, 'name': '교육'}]"
1001,음악이야기,"[{'id': 4, 'name': '교양'}, {'id': 5, 'name': '상식'}, {'id': 6, 'name': '음악'}]"
1002,특수교육의 이해,"[{'id': 1, 'name': '인성'}, {'id': 2, 'name': '봉사'}, {'id': 3, 'name': '교육'}]"
1003,발달장애의 이해,"[{'id': 1, 'name': '인성'}, {'id': 2, 'name': '봉사'}, {'id': 3, 'name': '교육'}]"
1004,교육심리,"[{'id': 1, 'name': '인성'}, {'id': 2, 'name': '봉사'}, {'id': 3, 'name': '교육'}]"
1005,교육학개론,"[{'id': 1, 'name': '인성'}, {'id': 2, 'name': '봉사'}, {'id': 3, 'name': '교육'}]"
1006,스포츠건강관리,"[{'id': 4, 'name': '스포츠'}, {'id': 5, 'name': '문화'},{'id': 7, 'name': '정보'}]"
1007,드라마영어,"[{'id': 6, 'name': '글로벌'}, {'id': 5, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1008,글로벌경제의 이해,"[{'id': 6, 'name': '글로벌'}, {'id': 8, 'name': '경영'}, {'id': 7, 'name': '정보'}]"
1009,성서밖 예수이야기,"[{'id': 9, 'name': '종교'}, {'id': 10, 'name': '과학'}, {'id': 7, 'name': '정보'}]"
1010,한국 전통문화의 이해,"[{'id': 5, 'name': '문화'}, {'id': 1, 'name': '인성'}, {'id': 7, 'name': '정보'}]"
1011,우주의 신비,"[{'id': 5, 'name': '문화'}, {'id': 10, 'name': '과학'}, {'id': 7, 'name': '정보'}]"
1012,생명의 신비,"[{'id': 5, 'name': '문화'}, {'id': 10, 'name': '과학'}, {'id': 7, 'name': '정보'}]"
1013,프레젠테이션 기법,"[{'id': 5, 'name': '문화'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1014,인터넷의 이해와 활용,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1015,빅데이터의 이해,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1016,파이썬 프로그래밍,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1017,대화의 기술,"[{'id': 5, 'name': '문화'}, {'id': 1, 'name': '인성'}, {'id': 3, 'name': '교육'},{'id': 14, 'name': '국어'}]"
1018,인간관계론,"[{'id': 5, 'name': '문화'}, {'id': 1, 'name': '인성'}, {'id': 3, 'name': '교육'},{'id': 14, 'name': '국어'}]"
1019,학술적 글쓰기,"[{'id': 5, 'name': '문화'}, {'id': 1, 'name': '인성'}, {'id': 3, 'name': '교육'},{'id': 14, 'name': '국어'}]"
1020,젊은이를 위한 상담심리학,"[{'id': 5, 'name': '문화'}, {'id': 1, 'name': '인성'}, {'id': 3, 'name': '교육'},{'id': 14, 'name': '국어'}]"
1021,문화인류학과 문화,"[{'id': 5, 'name': '문화'}, {'id': 1, 'name': '인성'}, {'id': 3, 'name': '교육'},{'id': 14, 'name': '국어'}]"
1022,인문학의 이해,"[{'id': 5, 'name': '문화'}, {'id': 1, 'name': '인성'}, {'id': 3, 'name': '교육'},{'id': 14, 'name': '국어'}]"
1023,기초 수학,"[{'id': 13, 'name': '수학'}, {'id': 10, 'name': '과학'}, {'id': 11, 'name': '정보통신'}]"
1024,기초 영어,"[{'id': 6, 'name': '글로벌'}, {'id': 8, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1025,기초 글쓰기,"[{'id': 14, 'name': '국어'}, {'id': 8, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1026,교양 합창,"[{'id': 1, 'name': '인성'}, {'id': 15, 'name': '협력'}, {'id': 2, 'name': '봉사'}]"
1027,부모 역할과 자녀 교육,"[{'id': 1, 'name': '인성'}, {'id': 7, 'name': '정보'}, {'id': 3, 'name': '교육'}]"
1028,한국 문학의 기초,"[{'id': 5, 'name': '문화'}, {'id': 1, 'name': '인성'}, {'id': 3, 'name': '교육'},{'id': 14, 'name': '국어'}]"
1029,한국 수화 언어의 이해와 실체,"[{'id': 5, 'name': '문화'}, {'id': 1, 'name': '인성'}, {'id': 3, 'name': '교육'},{'id': 14, 'name': '국어'}]"
1030,미적분학,"[{'id': 13, 'name': '수학'}, {'id': 10, 'name': '과학'}, {'id': 11, 'name': '정보통신'}]"
1031,영화 감상과 영화 비평,"[{'id': 5, 'name': '문화'}, {'id': 3, 'name': '교육'},{'id': 14, 'name': '국어'}]"
1032,과학 기술과 문명,"[{'id': 5, 'name': '문화'}, {'id': 10, 'name': '과학'}, {'id': 7, 'name': '정보'}]"
1033,미래 사회와 학습법,"[{'id': 5, 'name': '문화'}, {'id': 10, 'name': '과학'}, {'id': 8, 'name': '정보'}]"
1034,성공 취업과 사회 진출,"[{'id': 5, 'name': '문화'}, {'id': 10, 'name': '과학'}, {'id': 9, 'name': '정보'}]"
1035,기초 러시아어,"[{'id': 6, 'name': '글로벌'}, {'id': 8, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1036,고급 시사 영어,"[{'id': 6, 'name': '글로벌'}, {'id': 8, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1037,영미문화세미나,"[{'id': 6, 'name': '글로벌'}, {'id': 8, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1038,비즈니스 영작문,"[{'id': 6, 'name': '글로벌'}, {'id': 8, 'name': '문화'}, {'id': 7, 'name': '정보'},{'id': 14, 'name': '국어'}]"
1039,언어와 사회,"[{'id': 5, 'name': '문화'}, {'id': 1, 'name': '인성'}, {'id': 3, 'name': '교육'},{'id': 14, 'name': '국어'}]"
1040,영어통역,"[{'id': 6, 'name': '글로벌'}, {'id': 8, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1041,영미대중문화,"[{'id': 6, 'name': '글로벌'}, {'id': 8, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1042,중급 중국어,"[{'id': 6, 'name': '글로벌'}, {'id': 8, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1043,중국어작문,"[{'id': 6, 'name': '글로벌'}, {'id': 8, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1044,중국어회화,"[{'id': 6, 'name': '글로벌'}, {'id': 8, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1045,회계원리,"[{'id': 13, 'name': '수학'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1046,경영정보시스템,"[{'id': 8, 'name': '경영'}, {'id': 13, 'name': '수학'}, {'id': 7, 'name': '정보'}]"
1047,국제경영학,"[{'id': 8, 'name': '경영'}, {'id': 13, 'name': '수학'}, {'id': 7, 'name': '정보'}]"
1048,유통관리론,"[{'id': 8, 'name': '경영'}, {'id': 13, 'name': '수학'}, {'id': 7, 'name': '정보'}]"
